yearID,teamID,W,G,R,RA,HR,H,SO,SV,attendance,ERA
2013,LAA,78,162,733,737,164,1476,1221.0,41,3019505.0,4.241710496226847
2013,MIN,66,162,614,788,151,1346,1430.0,40,2477644.0,4.554814985060906
2013,NYA,85,162,650,671,144,1321,1214.0,49,3279589.0,3.9424228466144635
2013,OAK,96,162,767,625,186,1403,1178.0,46,1809302.0,3.5578512396694215
2013,SEA,71,162,624,754,188,1318,1353.0,43,1761546.0,4.318771331058021
2013,TBA,92,163,700,646,165,1421,1171.0,42,1510300.0,3.737704918032787
2013,TEX,91,163,730,636,176,1465,1067.0,46,3178273.0,3.62870159453303
2013,TOR,74,162,712,756,185,1398,1123.0,39,2536562.0,4.264462809917355
2013,ARI,81,162,685,695,130,1468,1142.0,38,2134795.0,3.9190635451505016
2013,ATL,96,162,688,548,181,1354,1384.0,53,2548679.0,3.177200643530223
2013,CHN,66,162,602,689,172,1307,1230.0,39,2642682.0,3.9965469613259668
2013,CIN,90,162,698,589,155,1370,1245.0,43,2534369.0,3.3833974213978735
2013,COL,74,162,706,760,159,1511,1204.0,35,2793828.0,4.437325905292479
2013,LAN,92,162,649,582,138,1447,1146.0,46,3743527.0,3.2516662836129626
2013,MIA,62,162,513,646,95,1257,1232.0,36,1586322.0,3.710958904109589
2013,MIL,74,162,640,687,157,1381,1183.0,40,2531105.0,3.836645101663586
2013,NYN,74,162,619,684,130,1318,1384.0,40,2135657.0,3.7848758465011283
2013,PHI,73,162,610,749,140,1355,1205.0,32,3012403.0,4.33604084474356
2013,PIT,94,162,634,577,161,1346,1330.0,55,2256862.0,3.274025385312783
2013,SDN,76,162,618,700,146,1349,1309.0,40,2166691.0,3.977319587628866
2013,SFN,76,162,629,691,107,1446,1078.0,41,3326796.0,3.998387839705205
2013,SLN,97,162,783,596,125,1494,1110.0,44,3369769.0,3.428179949760219
2013,WAS,86,162,656,626,161,1365,1192.0,47,2652422.0,3.585888863269541
2014,BAL,96,162,705,593,211,1434,1285.0,53,2464473.0,3.436587591240876
2014,BOS,71,162,634,715,123,1355,1337.0,36,2956089.0,4.009779395042074
