yearID,teamID,H,HR,BB,SO,AB,RBI,R,W,G
2014,DET,1557,155,443,1144.0,5630,731.0,757,90,162
2014,HOU,1317,163,495,1442.0,5447,596.0,629,70,162
2014,KCA,1456,95,380,985.0,5545,604.0,651,89,162
2014,LAA,1464,155,492,1266.0,5652,729.0,773,98,162
2014,LAN,1476,134,519,1246.0,5560,686.0,718,94,162
2014,MIA,1399,122,501,1419.0,5538,614.0,645,77,162
2014,MIL,1366,150,423,1197.0,5462,617.0,650,82,162
2014,MIN,1412,128,544,1329.0,5567,675.0,715,70,162
2014,NYA,1349,147,452,1133.0,5497,591.0,633,84,162
2014,NYN,1306,125,516,1264.0,5472,602.0,629,79,162
2014,OAK,1354,146,586,1104.0,5545,686.0,729,88,162
2014,PHI,1356,125,443,1306.0,5603,584.0,619,73,162
2014,PIT,1436,156,520,1244.0,5536,659.0,682,88,162
2014,SDN,1199,109,468,1294.0,5294,500.0,535,77,162
2014,SEA,1328,136,396,1232.0,5450,600.0,634,87,162
2014,SFN,1407,132,427,1245.0,5523,636.0,665,88,162
2014,SLN,1371,105,471,1133.0,5426,585.0,619,90,162
2014,TBA,1361,117,527,1124.0,5516,586.0,612,77,162
2014,TEX,1400,111,417,1162.0,5460,597.0,637,67,162
2014,TOR,1435,177,502,1151.0,5549,690.0,723,83,162
2014,WAS,1403,152,517,1304.0,5542,635.0,686,96,162
2015,ARI,1494,154,490,1312.0,5649,680.0,720,79,162
2015,ATL,1361,100,471,1107.0,5420,548.0,573,67,162
2015,BAL,1370,217,418,1331.0,5485,686.0,713,81,162
2015,BOS,1495,161,478,1148.0,5640,706.0,748,78,162
2015,CHA,1381,136,404,1231.0,5533,595.0,622,76,162
2015,CHN,1341,171,567,1518.0,5491,657.0,689,97,162
2015,CIN,1382,167,496,1255.0,5571,613.0,640,64,162
2015,CLE,1395,141,533,1157.0,5439,640.0,669,81,161
2015,COL,1479,186,388,1283.0,5572,702.0,737,68,162
2015,DET,1515,151,455,1259.0,5605,660.0,689,74,161
2015,HOU,1363,230,486,1392.0,5459,691.0,729,86,162
2015,KCA,1497,139,383,973.0,5575,689.0,724,95,162
2015,LAA,1331,176,435,1150.0,5417,621.0,661,85,162
2015,LAN,1346,187,563,1258.0,5385,638.0,667,92,162
2015,MIA,1420,120,375,1150.0,5463,575.0,613,71,162
2015,MIL,1378,145,412,1299.0,5480,624.0,655,68,162
2015,MIN,1349,156,439,1264.0,5467,661.0,696,83,162
2015,NYA,1397,212,554,1227.0,5567,737.0,764,87,162
2015,NYN,1351,177,488,1290.0,5527,654.0,683,90,162
